Número do contrato,Data de assinatura do contrato,Valor do contrato,Duração do contrato,Nome da empresa ou fornecedor contratado,Nome da agência governamental,Valor total do contrato,Valor pago até o momento,Valor a ser pago no futuro,Data de pagamento de parcelas,Latitude,Longitude,Região,Estado,Histórico de Pagamentos
4136,2019-03-05,35713.49,4,Nogueira Costa S/A,Ministério das Relações Exteriores,35713.49,29524.68,356.8799999999974,"[datetime.date(2022, 2, 11), datetime.date(2021, 10, 21), datetime.date(2020, 11, 14), datetime.date(2021, 12, 11)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2022, 2, 11), 'Valor': 2210.32}, {'Data Pagamento': datetime.date(2021, 10, 21), 'Valor': 1063.15}, {'Data Pagamento': datetime.date(2020, 11, 14), 'Valor': 1434.55}, {'Data Pagamento': datetime.date(2021, 12, 11), 'Valor': 1123.91}]"
2663,2020-04-15,43303.23,1,Azevedo,Ministério das Relações Exteriores,43303.23,14541.44,9463.630000000001,"[datetime.date(2020, 4, 15)]",-9.9747,-67.8076,Norte,AC,"[{'Data Pagamento': datetime.date(2020, 4, 15), 'Valor': 19298.16}]"
5130,2021-01-26,19893.16,1,Nunes - ME,Ministério das Relações Exteriores,19893.16,17625.82,2071.7400000000002,"[datetime.date(2021, 3, 19)]",-3.119,-60.0212,Norte,AM,"[{'Data Pagamento': datetime.date(2021, 3, 19), 'Valor': 195.6}]"
4978,2023-04-02,15555.7,4,Vieira S/A,Ministério da Defesa,15555.7,1145.49,27.24999999999992,"[datetime.date(2025, 1, 12), datetime.date(2024, 7, 5), datetime.date(2023, 4, 15), datetime.date(2026, 5, 17)]",-3.119,-60.0212,Norte,AM,"[{'Data Pagamento': datetime.date(2025, 1, 12), 'Valor': 8544.78}, {'Data Pagamento': datetime.date(2024, 7, 5), 'Valor': 4652.06}, {'Data Pagamento': datetime.date(2023, 4, 15), 'Valor': 1185.03}, {'Data Pagamento': datetime.date(2026, 5, 17), 'Valor': 1.09}]"
3279,2021-07-20,26303.2,1,Lima,"Ministério da Agricultura, Pecuária e Abastecimento",26303.2,6569.11,8069.040000000001,"[datetime.date(2021, 8, 25)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2021, 8, 25), 'Valor': 11665.05}]"
7810,2019-04-08,28855.48,1,Farias,Ministério da Economia,28855.48,9203.43,17322.72,"[datetime.date(2019, 6, 13)]",-22.9068,-43.1729,Sudeste,RJ,"[{'Data Pagamento': datetime.date(2019, 6, 13), 'Valor': 2329.33}]"
4851,2022-02-14,15566.75,3,Aragão,Ministério da Economia,15566.75,3490.49,106.35999999999956,"[datetime.date(2024, 1, 19), datetime.date(2023, 9, 15), datetime.date(2022, 5, 17)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2024, 1, 19), 'Valor': 10007.28}, {'Data Pagamento': datetime.date(2023, 9, 15), 'Valor': 1506.52}, {'Data Pagamento': datetime.date(2022, 5, 17), 'Valor': 456.1}]"
8805,2023-10-13,36818.41,4,da Mata Melo S/A,Ministério da Defesa,36818.41,18079.53,7720.800000000006,"[datetime.date(2027, 4, 15), datetime.date(2025, 9, 13), datetime.date(2027, 8, 31), datetime.date(2025, 1, 10)]",-8.04756,-34.877,Nordeste,PE,"[{'Data Pagamento': datetime.date(2027, 4, 15), 'Valor': 5427.46}, {'Data Pagamento': datetime.date(2025, 9, 13), 'Valor': 3173.42}, {'Data Pagamento': datetime.date(2027, 8, 31), 'Valor': 1824.56}, {'Data Pagamento': datetime.date(2025, 1, 10), 'Valor': 592.64}]"
5523,2021-05-06,18195.65,2,Freitas da Mata S.A.,Ministério das Relações Exteriores,18195.65,16208.54,264.52000000000055,"[datetime.date(2022, 5, 7), datetime.date(2022, 11, 14)]",-9.9747,-67.8076,Norte,AC,"[{'Data Pagamento': datetime.date(2022, 5, 7), 'Valor': 973.97}, {'Data Pagamento': datetime.date(2022, 11, 14), 'Valor': 748.62}]"
1384,2021-07-08,41499.94,5,da Rosa Farias S/A,Ministério da Economia,41499.94,23890.74,87.09000000000037,"[datetime.date(2022, 11, 19), datetime.date(2025, 10, 1), datetime.date(2026, 4, 23), datetime.date(2022, 12, 9), datetime.date(2021, 11, 29)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2022, 11, 19), 'Valor': 12688.11}, {'Data Pagamento': datetime.date(2025, 10, 1), 'Valor': 161.41}, {'Data Pagamento': datetime.date(2026, 4, 23), 'Valor': 2188.56}, {'Data Pagamento': datetime.date(2022, 12, 9), 'Valor': 2324.27}, {'Data Pagamento': datetime.date(2021, 11, 29), 'Valor': 159.76}]"
2415,2022-05-30,31787.64,1,da Cunha,Ministério da Defesa,31787.64,17494.53,5550.25,"[datetime.date(2022, 7, 19)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2022, 7, 19), 'Valor': 8742.86}]"
2427,2019-03-23,19494.17,4,Campos,Ministério da Economia,19494.17,4643.9,1670.489999999999,"[datetime.date(2022, 7, 15), datetime.date(2019, 6, 15), datetime.date(2021, 12, 4), datetime.date(2020, 6, 8)]",-5.79447,-35.211,Nordeste,RN,"[{'Data Pagamento': datetime.date(2022, 7, 15), 'Valor': 8175.07}, {'Data Pagamento': datetime.date(2019, 6, 15), 'Valor': 220.45}, {'Data Pagamento': datetime.date(2021, 12, 4), 'Valor': 3002.52}, {'Data Pagamento': datetime.date(2020, 6, 8), 'Valor': 1781.74}]"
7879,2023-09-18,35009.77,2,Alves Lima Ltda.,Ministério do Meio Ambiente,35009.77,19187.07,5494.689999999998,"[datetime.date(2024, 11, 2), datetime.date(2024, 3, 30)]",-27.5954,-48.548,Sul,SC,"[{'Data Pagamento': datetime.date(2024, 11, 2), 'Valor': 8461.13}, {'Data Pagamento': datetime.date(2024, 3, 30), 'Valor': 1866.88}]"
5418,2022-10-17,14596.23,5,Farias,"Ministério da Agricultura, Pecuária e Abastecimento",14596.23,10680.39,98.97000000000014,"[datetime.date(2024, 12, 10), datetime.date(2023, 7, 1), datetime.date(2026, 9, 25), datetime.date(2022, 12, 10), datetime.date(2024, 3, 22)]",-20.3155,-40.3128,Sudeste,ES,"[{'Data Pagamento': datetime.date(2024, 12, 10), 'Valor': 592.48}, {'Data Pagamento': datetime.date(2023, 7, 1), 'Valor': 1224.38}, {'Data Pagamento': datetime.date(2026, 9, 25), 'Valor': 646.04}, {'Data Pagamento': datetime.date(2022, 12, 10), 'Valor': 754.3}, {'Data Pagamento': datetime.date(2024, 3, 22), 'Valor': 599.67}]"
2067,2023-01-02,32500.54,2,Ramos Castro Ltda.,"Ministério da Agricultura, Pecuária e Abastecimento",32500.54,7116.9,17890.7,"[datetime.date(2023, 9, 24), datetime.date(2024, 12, 6)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2023, 9, 24), 'Valor': 6578.8}, {'Data Pagamento': datetime.date(2024, 12, 6), 'Valor': 914.14}]"
5410,2022-10-01,32697.79,3,Melo S.A.,Ministério da Justiça,32697.79,13226.48,3378.6000000000013,"[datetime.date(2023, 9, 3), datetime.date(2023, 12, 9), datetime.date(2024, 8, 28)]",-22.9068,-43.1729,Sudeste,RJ,"[{'Data Pagamento': datetime.date(2023, 9, 3), 'Valor': 5968.22}, {'Data Pagamento': datetime.date(2023, 12, 9), 'Valor': 8634.46}, {'Data Pagamento': datetime.date(2024, 8, 28), 'Valor': 1490.03}]"
6912,2022-04-27,21699.84,3,Martins,Ministério da Saúde,21699.84,5132.59,5893.52,"[datetime.date(2025, 4, 9), datetime.date(2024, 3, 7), datetime.date(2023, 7, 24)]",-12.9714,-38.5014,Nordeste,BA,"[{'Data Pagamento': datetime.date(2025, 4, 9), 'Valor': 6070.73}, {'Data Pagamento': datetime.date(2024, 3, 7), 'Valor': 3416.76}, {'Data Pagamento': datetime.date(2023, 7, 24), 'Valor': 1186.24}]"
9014,2019-04-21,17361.27,4,Fogaça,Ministério da Defesa,17361.27,4027.46,39.33000000000074,"[datetime.date(2019, 12, 29), datetime.date(2022, 9, 25), datetime.date(2021, 8, 31), datetime.date(2021, 7, 22)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2019, 12, 29), 'Valor': 9329.61}, {'Data Pagamento': datetime.date(2022, 9, 25), 'Valor': 3027.71}, {'Data Pagamento': datetime.date(2021, 8, 31), 'Valor': 937.05}, {'Data Pagamento': datetime.date(2021, 7, 22), 'Valor': 0.11}]"
6762,2022-08-18,26927.09,2,Castro S.A.,Ministério da Saúde,26927.09,7225.82,144.17000000000166,"[datetime.date(2023, 11, 28), datetime.date(2023, 6, 30)]",-9.66599,-35.735,Nordeste,AL,"[{'Data Pagamento': datetime.date(2023, 11, 28), 'Valor': 18215.44}, {'Data Pagamento': datetime.date(2023, 6, 30), 'Valor': 1341.66}]"
7034,2019-07-05,34453.25,5,Martins,Ministério do Desenvolvimento Regional,34453.25,23685.3,3.0700000000014587,"[datetime.date(2020, 3, 20), datetime.date(2021, 9, 8), datetime.date(2022, 4, 6), datetime.date(2020, 9, 29), datetime.date(2022, 9, 22)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2020, 3, 20), 'Valor': 6330.94}, {'Data Pagamento': datetime.date(2021, 9, 8), 'Valor': 4327.36}, {'Data Pagamento': datetime.date(2022, 4, 6), 'Valor': 90.38}, {'Data Pagamento': datetime.date(2020, 9, 29), 'Valor': 4.73}, {'Data Pagamento': datetime.date(2022, 9, 22), 'Valor': 11.47}]"
3718,2019-02-17,43844.17,3,Campos - ME,"Ministério da Agricultura, Pecuária e Abastecimento",43844.17,41462.69,531.909999999996,"[datetime.date(2020, 10, 4), datetime.date(2020, 1, 9), datetime.date(2019, 3, 9)]",-1.4554,-48.4898,Norte,PA,"[{'Data Pagamento': datetime.date(2020, 10, 4), 'Valor': 1393.87}, {'Data Pagamento': datetime.date(2020, 1, 9), 'Valor': 320.17}, {'Data Pagamento': datetime.date(2019, 3, 9), 'Valor': 135.53}]"
9521,2020-05-26,48688.24,3,Almeida,Ministério do Meio Ambiente,48688.24,40251.75,1156.779999999998,"[datetime.date(2021, 3, 29), datetime.date(2022, 1, 11), datetime.date(2023, 1, 28)]",-9.66599,-35.735,Nordeste,AL,"[{'Data Pagamento': datetime.date(2021, 3, 29), 'Valor': 5603.01}, {'Data Pagamento': datetime.date(2022, 1, 11), 'Valor': 790.3}, {'Data Pagamento': datetime.date(2023, 1, 28), 'Valor': 886.4}]"
7335,2022-10-04,43781.33,5,Peixoto e Filhos,Ministério da Economia,43781.33,14783.86,90.57000000000124,"[datetime.date(2024, 6, 20), datetime.date(2026, 9, 19), datetime.date(2027, 5, 8), datetime.date(2025, 5, 18), datetime.date(2026, 2, 18)]",-30.0328,-51.2176,Sul,RS,"[{'Data Pagamento': datetime.date(2024, 6, 20), 'Valor': 16706.5}, {'Data Pagamento': datetime.date(2026, 9, 19), 'Valor': 7000.59}, {'Data Pagamento': datetime.date(2027, 5, 8), 'Valor': 2544.77}, {'Data Pagamento': datetime.date(2025, 5, 18), 'Valor': 2506.72}, {'Data Pagamento': datetime.date(2026, 2, 18), 'Valor': 148.32}]"
5444,2022-02-26,44533.54,4,Alves - EI,Ministério do Desenvolvimento Regional,44533.54,16913.94,3991.600000000003,"[datetime.date(2023, 1, 8), datetime.date(2023, 2, 5), datetime.date(2024, 3, 17), datetime.date(2022, 12, 18)]",-12.9714,-38.5014,Nordeste,BA,"[{'Data Pagamento': datetime.date(2023, 1, 8), 'Valor': 16145.13}, {'Data Pagamento': datetime.date(2023, 2, 5), 'Valor': 4606.96}, {'Data Pagamento': datetime.date(2024, 3, 17), 'Valor': 2691.42}, {'Data Pagamento': datetime.date(2022, 12, 18), 'Valor': 184.49}]"
5827,2018-12-09,20537.03,3,Aragão,Ministério da Defesa,20537.03,13621.34,502.82999999999856,"[datetime.date(2020, 1, 14), datetime.date(2020, 5, 4), datetime.date(2021, 11, 15)]",-10.2128,-48.3607,Norte,TO,"[{'Data Pagamento': datetime.date(2020, 1, 14), 'Valor': 4831.34}, {'Data Pagamento': datetime.date(2020, 5, 4), 'Valor': 47.55}, {'Data Pagamento': datetime.date(2021, 11, 15), 'Valor': 1533.97}]"
6320,2021-04-20,43995.2,2,Nunes,Ministério do Meio Ambiente,43995.2,5674.63,4771.689999999999,"[datetime.date(2023, 3, 9), datetime.date(2022, 10, 18)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2023, 3, 9), 'Valor': 11704.27}, {'Data Pagamento': datetime.date(2022, 10, 18), 'Valor': 21844.61}]"
1939,2023-07-29,14037.33,4,da Mota,Ministério da Saúde,14037.33,12710.43,0.9199999999996622,"[datetime.date(2024, 7, 24), datetime.date(2024, 8, 16), datetime.date(2024, 10, 20), datetime.date(2027, 3, 5)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2024, 7, 24), 'Valor': 1300.53}, {'Data Pagamento': datetime.date(2024, 8, 16), 'Valor': 16.26}, {'Data Pagamento': datetime.date(2024, 10, 20), 'Valor': 7.76}, {'Data Pagamento': datetime.date(2027, 3, 5), 'Valor': 1.43}]"
2923,2020-04-22,23652.55,1,Lopes,Ministério das Relações Exteriores,23652.55,473.49,4872.229999999996,"[datetime.date(2020, 7, 28)]",-1.4554,-48.4898,Norte,PA,"[{'Data Pagamento': datetime.date(2020, 7, 28), 'Valor': 18306.83}]"
9798,2019-04-24,44291.39,1,Ribeiro Ltda.,Ministério do Meio Ambiente,44291.39,11327.98,8475.720000000005,"[datetime.date(2019, 8, 29)]",-30.0328,-51.2176,Sul,RS,"[{'Data Pagamento': datetime.date(2019, 8, 29), 'Valor': 24487.69}]"
7077,2021-02-02,25387.59,2,Moura Azevedo e Filhos,Ministério da Saúde,25387.59,23566.51,484.2600000000018,"[datetime.date(2022, 6, 5), datetime.date(2021, 7, 16)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2022, 6, 5), 'Valor': 573.3}, {'Data Pagamento': datetime.date(2021, 7, 16), 'Valor': 763.52}]"
1404,2022-07-16,20415.56,4,Dias,Ministério da Educação,20415.56,7412.51,4368.320000000001,"[datetime.date(2025, 10, 1), datetime.date(2023, 1, 24), datetime.date(2023, 7, 6), datetime.date(2023, 11, 23)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2025, 10, 1), 'Valor': 3073.53}, {'Data Pagamento': datetime.date(2023, 1, 24), 'Valor': 4761.94}, {'Data Pagamento': datetime.date(2023, 7, 6), 'Valor': 482.48}, {'Data Pagamento': datetime.date(2023, 11, 23), 'Valor': 316.78}]"
6910,2021-05-15,27559.17,5,Nogueira S.A.,"Ministério da Agricultura, Pecuária e Abastecimento",27559.17,12532.67,99.319999999999,"[datetime.date(2022, 9, 30), datetime.date(2024, 9, 15), datetime.date(2022, 2, 28), datetime.date(2022, 1, 2), datetime.date(2023, 5, 14)]",-8.04756,-34.877,Nordeste,PE,"[{'Data Pagamento': datetime.date(2022, 9, 30), 'Valor': 5921.17}, {'Data Pagamento': datetime.date(2024, 9, 15), 'Valor': 3803.89}, {'Data Pagamento': datetime.date(2022, 2, 28), 'Valor': 1819.66}, {'Data Pagamento': datetime.date(2022, 1, 2), 'Valor': 3351.43}, {'Data Pagamento': datetime.date(2023, 5, 14), 'Valor': 31.03}]"
8111,2020-08-05,44005.38,4,Costa,Ministério da Educação,44005.38,2104.87,12.909999999993559,"[datetime.date(2022, 3, 5), datetime.date(2021, 6, 20), datetime.date(2022, 12, 12), datetime.date(2022, 12, 29)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2022, 3, 5), 'Valor': 40701.22}, {'Data Pagamento': datetime.date(2021, 6, 20), 'Valor': 345.72}, {'Data Pagamento': datetime.date(2022, 12, 12), 'Valor': 805.24}, {'Data Pagamento': datetime.date(2022, 12, 29), 'Valor': 35.42}]"
8571,2022-09-04,27503.4,1,Novaes,Ministério da Saúde,27503.4,23160.89,1700.550000000002,"[datetime.date(2023, 7, 31)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2023, 7, 31), 'Valor': 2641.96}]"
3648,2020-07-03,26375.58,3,Cavalcanti - EI,Ministério da Defesa,26375.58,20334.05,577.0500000000029,"[datetime.date(2021, 9, 6), datetime.date(2023, 1, 21), datetime.date(2022, 3, 11)]",-1.4554,-48.4898,Norte,PA,"[{'Data Pagamento': datetime.date(2021, 9, 6), 'Valor': 5036.98}, {'Data Pagamento': datetime.date(2023, 1, 21), 'Valor': 331.03}, {'Data Pagamento': datetime.date(2022, 3, 11), 'Valor': 96.47}]"
9113,2022-09-01,27225.79,5,Fogaça Ltda.,Ministério do Desenvolvimento Regional,27225.79,22883.2,44.72000000000022,"[datetime.date(2022, 10, 10), datetime.date(2027, 2, 8), datetime.date(2024, 9, 17), datetime.date(2025, 3, 11), datetime.date(2022, 12, 14)]",-5.09194,-42.8034,Nordeste,PI,"[{'Data Pagamento': datetime.date(2022, 10, 10), 'Valor': 2945.1}, {'Data Pagamento': datetime.date(2027, 2, 8), 'Valor': 220.19}, {'Data Pagamento': datetime.date(2024, 9, 17), 'Valor': 650.66}, {'Data Pagamento': datetime.date(2025, 3, 11), 'Valor': 457.63}, {'Data Pagamento': datetime.date(2022, 12, 14), 'Valor': 24.29}]"
5430,2019-02-04,29377.6,1,da Rosa,Ministério da Justiça,29377.6,12722.28,2789.4799999999996,"[datetime.date(2019, 12, 11)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2019, 12, 11), 'Valor': 13865.84}]"
9129,2023-09-30,14165.75,3,Cavalcanti,Ministério da Defesa,14165.75,13712.89,25.8400000000006,"[datetime.date(2025, 7, 10), datetime.date(2026, 3, 24), datetime.date(2025, 11, 3)]",-27.5954,-48.548,Sul,SC,"[{'Data Pagamento': datetime.date(2025, 7, 10), 'Valor': 319.33}, {'Data Pagamento': datetime.date(2026, 3, 24), 'Valor': 93.69}, {'Data Pagamento': datetime.date(2025, 11, 3), 'Valor': 14.0}]"
8967,2022-07-08,46495.87,1,Souza,Ministério da Educação,46495.87,30869.26,7491.2900000000045,"[datetime.date(2023, 2, 23)]",-5.09194,-42.8034,Nordeste,PI,"[{'Data Pagamento': datetime.date(2023, 2, 23), 'Valor': 8135.32}]"
2522,2019-07-25,45118.83,1,Costa,Ministério da Economia,45118.83,3233.48,22436.649999999998,"[datetime.date(2019, 12, 7)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2019, 12, 7), 'Valor': 19448.7}]"
8850,2022-12-30,34571.4,3,Rezende,Ministério da Saúde,34571.4,25388.45,1042.1200000000008,"[datetime.date(2024, 9, 12), datetime.date(2024, 8, 14), datetime.date(2024, 10, 3)]",-20.3155,-40.3128,Sudeste,ES,"[{'Data Pagamento': datetime.date(2024, 9, 12), 'Valor': 6650.5}, {'Data Pagamento': datetime.date(2024, 8, 14), 'Valor': 568.96}, {'Data Pagamento': datetime.date(2024, 10, 3), 'Valor': 921.37}]"
1966,2019-12-27,37055.63,1,Pereira S/A,Ministério da Justiça,37055.63,14148.03,15842.469999999998,"[datetime.date(2020, 2, 18)]",-22.9068,-43.1729,Sudeste,RJ,"[{'Data Pagamento': datetime.date(2020, 2, 18), 'Valor': 7065.13}]"
7482,2021-03-21,49269.89,1,Barros Barros Ltda.,Ministério da Saúde,49269.89,25510.2,1417.109999999997,"[datetime.date(2021, 9, 11)]",-9.66599,-35.735,Nordeste,AL,"[{'Data Pagamento': datetime.date(2021, 9, 11), 'Valor': 22342.58}]"
6255,2019-08-15,22737.48,4,da Rocha,"Ministério da Agricultura, Pecuária e Abastecimento",22737.48,14557.55,5.40000000000019,"[datetime.date(2019, 10, 20), datetime.date(2022, 4, 30), datetime.date(2020, 1, 31), datetime.date(2020, 8, 14)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2019, 10, 20), 'Valor': 8054.13}, {'Data Pagamento': datetime.date(2022, 4, 30), 'Valor': 23.24}, {'Data Pagamento': datetime.date(2020, 1, 31), 'Valor': 23.31}, {'Data Pagamento': datetime.date(2020, 8, 14), 'Valor': 73.85}]"
1985,2019-03-20,44878.88,4,Ramos,Ministério da Defesa,44878.88,583.78,15903.789999999999,"[datetime.date(2019, 6, 10), datetime.date(2020, 5, 26), datetime.date(2021, 1, 2), datetime.date(2020, 3, 6)]",-27.5954,-48.548,Sul,SC,"[{'Data Pagamento': datetime.date(2019, 6, 10), 'Valor': 2711.53}, {'Data Pagamento': datetime.date(2020, 5, 26), 'Valor': 2428.75}, {'Data Pagamento': datetime.date(2021, 1, 2), 'Valor': 9228.29}, {'Data Pagamento': datetime.date(2020, 3, 6), 'Valor': 14022.74}]"
2908,2018-12-29,31385.52,2,Mendes,Ministério do Meio Ambiente,31385.52,20476.33,6060.999999999998,"[datetime.date(2020, 2, 25), datetime.date(2019, 9, 22)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2020, 2, 25), 'Valor': 183.6}, {'Data Pagamento': datetime.date(2019, 9, 22), 'Valor': 4664.59}]"
5901,2021-01-08,25232.22,1,Almeida,Ministério da Educação,25232.22,23635.55,1327.570000000002,"[datetime.date(2021, 12, 31)]",-7.11509,-34.8641,Nordeste,PB,"[{'Data Pagamento': datetime.date(2021, 12, 31), 'Valor': 269.1}]"
1965,2019-02-13,11739.32,5,Nogueira Cunha S.A.,Ministério das Relações Exteriores,11739.32,2680.86,148.96999999999866,"[datetime.date(2023, 5, 2), datetime.date(2022, 9, 3), datetime.date(2022, 3, 4), datetime.date(2023, 12, 20), datetime.date(2023, 8, 28)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2023, 5, 2), 'Valor': 582.44}, {'Data Pagamento': datetime.date(2022, 9, 3), 'Valor': 3546.7}, {'Data Pagamento': datetime.date(2022, 3, 4), 'Valor': 632.22}, {'Data Pagamento': datetime.date(2023, 12, 20), 'Valor': 2484.97}, {'Data Pagamento': datetime.date(2023, 8, 28), 'Valor': 1663.16}]"
7383,2019-04-27,45639.81,3,Monteiro,Ministério das Relações Exteriores,45639.81,37874.03,611.7799999999991,"[datetime.date(2020, 12, 14), datetime.date(2019, 5, 27), datetime.date(2019, 7, 24)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2020, 12, 14), 'Valor': 6402.28}, {'Data Pagamento': datetime.date(2019, 5, 27), 'Valor': 348.8}, {'Data Pagamento': datetime.date(2019, 7, 24), 'Valor': 402.92}]"
4770,2021-01-05,45571.3,5,Moreira S.A.,"Ministério da Agricultura, Pecuária e Abastecimento",45571.3,18785.33,257.59999999999945,"[datetime.date(2021, 10, 5), datetime.date(2024, 8, 18), datetime.date(2023, 12, 17), datetime.date(2026, 1, 1), datetime.date(2021, 2, 7)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2021, 10, 5), 'Valor': 11944.92}, {'Data Pagamento': datetime.date(2024, 8, 18), 'Valor': 3441.3}, {'Data Pagamento': datetime.date(2023, 12, 17), 'Valor': 8606.43}, {'Data Pagamento': datetime.date(2026, 1, 1), 'Valor': 580.82}, {'Data Pagamento': datetime.date(2021, 2, 7), 'Valor': 1954.9}]"
1532,2022-05-29,34900.42,2,Gonçalves,Ministério do Meio Ambiente,34900.42,31137.24,1206.6999999999966,"[datetime.date(2024, 4, 16), datetime.date(2023, 2, 24)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2024, 4, 16), 'Valor': 1863.08}, {'Data Pagamento': datetime.date(2023, 2, 24), 'Valor': 693.4}]"
1861,2020-01-09,40327.81,1,Melo Vieira S/A,Ministério da Saúde,40327.81,30393.1,1218.9599999999991,"[datetime.date(2020, 10, 24)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2020, 10, 24), 'Valor': 8715.75}]"
7885,2022-01-18,22136.98,1,Sales - EI,Ministério da Educação,22136.98,14732.73,2656.67,"[datetime.date(2022, 10, 29)]",-8.76077,-63.8999,Norte,RO,"[{'Data Pagamento': datetime.date(2022, 10, 29), 'Valor': 4747.58}]"
1898,2022-06-12,21557.29,5,da Mota Duarte S.A.,Ministério da Justiça,21557.29,18132.02,3.79000000000061,"[datetime.date(2025, 3, 11), datetime.date(2023, 5, 10), datetime.date(2024, 7, 17), datetime.date(2025, 8, 2), datetime.date(2025, 8, 17)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2025, 3, 11), 'Valor': 3080.68}, {'Data Pagamento': datetime.date(2023, 5, 10), 'Valor': 249.23}, {'Data Pagamento': datetime.date(2024, 7, 17), 'Valor': 38.36}, {'Data Pagamento': datetime.date(2025, 8, 2), 'Valor': 51.96}, {'Data Pagamento': datetime.date(2025, 8, 17), 'Valor': 1.25}]"
5024,2021-06-26,17994.53,4,Nascimento S.A.,Ministério da Educação,17994.53,16360.96,352.5899999999997,"[datetime.date(2024, 1, 5), datetime.date(2024, 5, 15), datetime.date(2022, 4, 28), datetime.date(2025, 3, 27)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2024, 1, 5), 'Valor': 356.44}, {'Data Pagamento': datetime.date(2024, 5, 15), 'Valor': 796.65}, {'Data Pagamento': datetime.date(2022, 4, 28), 'Valor': 45.92}, {'Data Pagamento': datetime.date(2025, 3, 27), 'Valor': 81.97}]"
4229,2019-05-09,43304.2,3,Pires Azevedo e Filhos,Ministério da Defesa,43304.2,17375.92,727.2099999999982,"[datetime.date(2020, 1, 22), datetime.date(2020, 5, 3), datetime.date(2019, 11, 2)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2020, 1, 22), 'Valor': 633.61}, {'Data Pagamento': datetime.date(2020, 5, 3), 'Valor': 18238.66}, {'Data Pagamento': datetime.date(2019, 11, 2), 'Valor': 6328.8}]"
1663,2021-04-12,13160.43,1,Melo Teixeira e Filhos,Ministério da Defesa,13160.43,10751.75,2227.03,"[datetime.date(2021, 11, 4)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2021, 11, 4), 'Valor': 181.65}]"
4066,2019-09-09,49544.41,2,Barros Vieira e Filhos,Ministério da Saúde,49544.41,23390.45,2754.630000000003,"[datetime.date(2019, 10, 2), datetime.date(2020, 3, 31)]",-1.4554,-48.4898,Norte,PA,"[{'Data Pagamento': datetime.date(2019, 10, 2), 'Valor': 14947.67}, {'Data Pagamento': datetime.date(2020, 3, 31), 'Valor': 8451.66}]"
1772,2020-02-15,28963.54,4,Lopes,Ministério da Educação,28963.54,5415.35,311.2400000000025,"[datetime.date(2023, 2, 5), datetime.date(2022, 3, 12), datetime.date(2020, 11, 5), datetime.date(2023, 8, 11)]",-22.9068,-43.1729,Sudeste,RJ,"[{'Data Pagamento': datetime.date(2023, 2, 5), 'Valor': 12703.97}, {'Data Pagamento': datetime.date(2022, 3, 12), 'Valor': 2194.32}, {'Data Pagamento': datetime.date(2020, 11, 5), 'Valor': 4221.85}, {'Data Pagamento': datetime.date(2023, 8, 11), 'Valor': 4116.81}]"
